customer_id,full_name,email,phone,county_code,county_name,city,postal_code,crime_risk,hail_risk,flood_risk,wind_risk,fire_risk,dist_fire_station_km,dist_hydrant_km,dist_police_km,dist_coast_km,dist_danube_km,dob
C-000001,Anamaria Gheorghiu,enecristobal@example.net,0243 819 600,TR,Teleorman,Turnu Magurele,494990,0.471,0.371,0.329,0.429,0.377,1.29,2.87,14.39,414.81,334.42,1950-08-10
C-000002,Gicu Suciu,stancudalia@example.net,0721 863 794,HR,Harghita,Miercurea Ciuc,304514,0.305,0.521,0.384,0.494,0.485,0.1,7.5,4.57,322.69,46.21,1995-09-12
C-000003,Gențiana Niță,ilariedinu@example.org,0780 511 615,BV,Brasov,Sacele,714743,0.322,0.684,0.332,0.457,0.446,0.2,2.62,2.9,307.32,338.09,1998-02-04
C-000004,Ariana Pop,ydiaconu@example.org,0740 495 931,SJ,Salaj,Zalau,315601,0.354,0.495,0.355,0.386,0.351,0.08,5.16,9.05,446.69,318.87,1947-08-05
C-000005,Petronela Cristea,diaconescumitica@example.com,0751 525 534,HD,Hunedoara,Petrosani,869571,0.332,0.491,0.287,0.446,0.421,3.73,3.38,12.69,96.03,191.59,1988-12-01
C-000006,Rafael Toma,stangheorghita@example.org,0752 648 350,CS,Caras-Severin,Caransebes,925886,0.146,0.332,0.161,0.195,0.21,0.24,1.91,11.89,503.29,91.78,1959-02-19
C-000007,Saveta Nistor,anemonaeftimie@example.net,0736 537 672,AR,Arad,Arad,944245,0.351,0.427,0.321,0.359,0.35,0.63,5.11,4.6,268.14,62.43,1961-05-23
C-000008,Matei Stan,zahariastanescu@example.com,0744 653 287,BN,Bistrita-Nasaud,Bistrita,337172,0.171,0.337,0.185,0.209,0.257,0.22,1.05,2.47,317.0,104.87,1950-06-07
C-000009,Didina Dinu,voineaolimpian@example.net,0238 669 784,CT,Constanta,Medgidia,696967,0.41,0.226,0.692,0.647,0.373,0.09,7.5,2.24,2.21,12.86,2005-11-18
C-000010,Domnica Voinea,xgheorghiu@example.net,0762 146 270,CT,Constanta,Mangalia,990714,0.357,0.22,0.641,0.541,0.395,0.53,4.99,1.14,23.7,2.99,2004-10-17
C-000011,Ghenadie Dochioiu,odiaconescu@example.com,0723 893 252,IS,Iasi,Pascani,958394,0.548,0.424,0.332,0.372,0.349,0.15,0.3,2.42,152.93,234.99,1978-09-08
C-000012,Pavel Manole,hababei@example.com,0269 303 911,BH,Bihor,Oradea,388611,0.421,0.374,0.341,0.427,0.378,0.41,0.74,3.27,511.49,329.05,1990-10-25
C-000013,Iustin Dima,tudorromulus@example.net,0251 489 638,CT,Constanta,Constanta,262631,0.454,0.234,0.628,0.556,0.396,0.09,3.41,8.09,16.05,8.58,1992-04-14
C-000014,Sabrina Nistor,pavelpuscasu@example.com,0245 331 509,TR,Teleorman,Alexandria,104776,0.446,0.337,0.329,0.403,0.325,0.31,7.5,5.9,391.68,353.59,1979-08-08
C-000015,Aglaia Barbu,eneaneta@example.org,0761 183 473,BZ,Buzau,Ramnicul Sarat,940934,0.377,0.433,0.428,0.375,0.335,0.15,3.17,0.35,441.02,245.01,1978-09-04
C-000016,Marinela Popa,iuliana11@example.net,0771 566 701,BZ,Buzau,Buzau,610553,0.436,0.426,0.402,0.333,0.333,0.31,2.12,11.1,228.95,372.18,1948-07-10
C-000017,Dida Florea,dumitrescuvalentin@example.com,0247 624 731,AR,Arad,Lipova,105859,0.407,0.416,0.287,0.357,0.342,0.12,1.17,1.15,89.28,70.38,1972-08-15
